timestamp,value1,value2,hand,gesture
1728496188.4314787,645,996,0,Open
1728496188.433013,568,996,0,Open
1728496188.4347715,480,996,0,Open
1728496188.4369178,479,995,0,Open
1728496188.4386425,475,995,0,Open
1728496188.4402268,467,994,0,Open
1728496188.4418616,479,993,0,Open
1728496188.4434648,481,993,0,Open
1728496188.445054,535,992,0,Open
1728496188.4466813,586,992,0,Open
1728496188.4484189,612,991,0,Open
1728496188.4500277,759,990,0,Open
1728496188.451594,615,990,0,Open
1728496188.4533005,521,989,0,Open
1728496188.4550486,479,988,0,Open
1728496188.4568684,477,987,0,Open
1728496188.4585245,475,987,0,Open
1728496188.460126,472,986,0,Open
1728496188.4617193,468,985,0,Open
1728496188.46341,479,984,0,Open
1728496188.465071,480,983,0,Open
1728496188.466655,480,982,0,Open
1728496188.4688008,551,981,0,Open
1728496188.4701676,666,980,0,Open
1728496188.471876,671,979,0,Open
1728496188.4735756,573,978,0,Open
1728496188.47527,531,977,0,Open
1728496188.4768064,470,976,0,Open
1728496188.4782605,470,975,0,Open
1728496188.4797246,475,974,0,Open
1728496188.4813285,450,973,0,Open
1728496188.4828358,478,972,0,Open
1728496188.4849744,479,970,0,Open
1728496188.4875636,480,969,0,Open
1728496188.489499,525,968,0,Open
1728496188.491069,544,967,0,Open
1728496188.4924812,712,965,0,Open
1728496188.493991,599,964,0,Open
1728496188.4955332,587,963,0,Open
1728496188.49695,479,961,0,Open
1728496188.498495,479,960,0,Open
1728496188.5000231,470,958,0,Open
1728496188.5023758,476,957,0,Open
1728496188.503886,474,956,0,Open
1728496188.5054288,480,954,0,Open
1728496188.5069635,480,953,0,Open
1728496188.5085862,537,951,0,Open
1728496188.510043,601,949,0,Open
1728496188.5115595,726,948,0,Open
1728496188.5131755,692,946,0,Open
1728496188.5149794,680,945,0,Open
1728496188.5164711,562,943,0,Open
1728496188.5183055,480,941,0,Open
1728496188.5195632,479,940,0,Open
1728496188.5211768,479,938,0,Open
1728496188.5229814,478,936,0,Open
1728496188.5243635,477,934,0,Open
1728496188.526494,480,933,0,Open
1728496188.5282006,523,931,0,Open
1728496188.529897,582,929,0,Open
1728496188.5318286,614,927,0,Open
1728496188.533178,759,925,0,Open
1728496188.5347402,685,923,0,Open
1728496188.5374537,592,921,0,Open
1728496188.538977,479,919,0,Open
1728496188.5404603,479,917,0,Open
1728496188.5419571,478,915,0,Open
1728496188.5434854,475,913,0,Open
1728496188.545013,476,911,0,Open
1728496188.546603,480,909,0,Open
1728496188.5482194,480,907,0,Open
1728496188.5498145,531,905,0,Open
1728496188.5513475,565,903,0,Open
1728496188.5529544,701,901,0,Open
1728496188.5546415,674,899,0,Open
1728496188.556208,589,896,0,Open
1728496188.5577717,480,894,0,Open
1728496188.5593293,479,892,0,Open
1728496188.5609093,475,890,0,Open
1728496188.562465,479,887,0,Open
1728496188.564086,454,885,0,Open
1728496188.565727,476,883,0,Open
1728496188.567326,480,880,0,Open
1728496188.5689237,479,878,0,Open
1728496188.570577,519,876,0,Open
1728496188.572132,590,873,0,Open
1728496188.5737746,658,871,0,Open
1728496188.5754611,602,868,0,Open
1728496188.577079,521,866,0,Open
1728496188.5786548,479,863,0,Open
1728496188.5802562,476,861,0,Open
1728496188.5818932,478,858,0,Open
1728496188.583911,463,856,0,Open
1728496188.5856256,472,853,0,Open
1728496188.588472,480,850,0,Open
1728496188.5902984,480,848,0,Open
1728496188.5922005,480,845,0,Open
1728496188.5938792,537,842,0,Open
1728496188.5955925,711,840,0,Open
1728496188.597206,689,837,0,Open
1728496188.5987878,576,834,0,Open
1728496188.60034,479,831,0,Open
1728496188.60201,478,829,0,Open
1728496188.6037614,479,826,0,Open
1728496188.6053834,477,823,0,Open
1728496188.606986,474,820,0,Open
1728496188.6086645,479,817,0,Open
1728496188.6102738,479,814,0,Open
1728496188.6118672,537,811,0,Open
1728496188.6134236,593,808,0,Open
1728496188.6150265,638,806,0,Open
1728496188.6165838,738,803,0,Open
1728496188.618112,655,800,0,Open
1728496188.6198163,544,797,0,Open
1728496188.6214793,479,794,0,Open
1728496188.623038,479,790,0,Open
1728496188.6247194,478,787,0,Open
1728496188.6263394,473,784,0,Open
1728496188.6279376,458,781,0,Open
1728496188.6295323,479,778,0,Open
1728496188.631101,481,775,0,Open
1728496188.6327057,543,772,0,Open
1728496188.6342835,600,769,0,Open
1728496188.6358688,735,765,0,Open
1728496188.6375322,718,762,0,Open
1728496188.639136,660,759,0,Open
1728496188.64071,538,756,0,Open
1728496188.6422412,479,752,0,Open
1728496188.6448386,477,749,0,Open
1728496188.6460564,479,746,0,Open
1728496188.6478496,468,742,0,Open
1728496188.6495633,479,739,0,Open
1728496188.651204,480,736,0,Open
1728496188.6532562,533,732,0,Open
1728496188.6549678,541,729,0,Open
1728496188.6576357,612,725,0,Open
1728496188.6592095,712,722,0,Open
1728496188.660828,635,718,0,Open
1728496188.662442,526,715,0,Open
1728496188.6640909,479,711,0,Open
1728496188.6657634,475,708,0,Open
1728496188.667323,474,704,0,Open
1728496188.668883,457,701,0,Open
1728496188.670653,475,697,0,Open
1728496188.6722956,479,694,0,Open
1728496188.67395,480,690,0,Open
1728496188.675538,519,686,0,Open
1728496188.6771495,547,683,0,Open
1728496188.6786969,676,679,0,Open
1728496188.6803918,647,675,0,Open
1728496188.6819863,547,672,0,Open
1728496188.684033,479,668,0,Open
1728496188.6856508,479,664,0,Open
1728496188.6874335,466,661,0,Open
1728496188.6890736,469,657,0,Open
1728496188.6907206,474,653,0,Open
1728496188.6923542,477,649,0,Open
1728496188.693998,480,645,0,Open
1728496188.695551,480,642,0,Open
1728496188.6971807,542,638,0,Open
1728496188.6987803,640,634,0,Open
1728496188.7004242,703,630,0,Open
1728496188.7021089,605,626,0,Open
1728496188.703823,497,622,0,Open
1728496188.7054794,479,618,0,Open
1728496188.7070634,471,614,0,Open
1728496188.709674,479,610,0,Open
1728496188.7112978,474,606,0,Open
1728496188.7132242,479,602,0,Open
1728496188.7152717,480,598,0,Open
1728496188.7170386,539,594,0,Open
1728496188.7186673,568,590,0,Open
1728496188.7204616,591,586,0,Open
1728496188.722159,758,582,0,Open
1728496188.723792,750,578,0,Open
1728496188.7254112,635,574,0,Open
1728496188.7270224,504,570,0,Open
1728496188.7286134,479,566,0,Open
1728496188.730266,478,562,0,Open
1728496188.731888,470,558,0,Open
1728496188.7336173,473,554,0,Open
1728496188.7352345,480,549,0,Open
1728496188.7371466,480,545,0,Open
1728496188.7387826,553,541,0,Open
1728496188.740398,596,537,0,Open
1728496188.742017,721,533,0,Open
1728496188.7436078,778,528,0,Open
1728496188.745219,665,524,0,Open
1728496188.746823,582,520,0,Open
1728496188.748465,506,515,0,Open
1728496188.750039,478,511,0,Open
1728496188.7516031,478,507,0,Open
1728496188.753273,469,503,0,Open
1728496188.7549736,479,498,0,Open
1728496188.7566006,480,494,0,Open
1728496188.7581768,480,490,0,Open
1728496188.7597902,525,485,0,Open
1728496188.761369,554,481,0,Open
1728496188.7629905,682,476,0,Open
1728496188.7647192,675,472,0,Open
1728496188.766302,564,468,0,Open
1728496188.7679188,479,463,0,Open
1728496188.769585,479,459,0,Open
1728496188.771243,472,454,0,Open
1728496188.773852,469,450,0,Closed
1728496188.7754369,456,445,0,Closed
1728496188.7774136,468,441,0,Closed
1728496188.7792127,478,436,0,Closed
1728496188.7809355,480,432,0,Closed
1728496188.783277,558,427,0,Closed
1728496188.7844715,639,423,0,Closed
1728496188.7862756,735,418,0,Closed
