timestamp,value1,value2
1728496188.7566006,480,494
1728496188.7581768,480,490
1728496188.7597902,525,485
1728496188.761369,554,481
1728496188.7629905,682,476
1728496188.7647192,675,472
1728496188.7663019,564,468
1728496188.7679188,479,463
1728496188.769585,479,459
1728496188.771243,472,454
1728496188.7738519,469,450
1728496188.7754369,456,445
1728496188.7774136,468,441
1728496188.7792127,478,436
1728496188.7809355,480,432
1728496188.783277,558,427
1728496188.7844715,639,423
1728496188.7862756,735,418
1728496188.7881458,591,414
1728496188.7896805,507,409
1728496188.791364,479,405
1728496188.7929657,474,400
1728496188.7946064,475,395
1728496188.7961671,468,391
1728496188.7978666,473,386
1728496188.7994163,478,382
1728496188.801104,480,377
1728496188.8026714,522,372
1728496188.8043275,545,368
1728496188.8058636,709,363
1728496188.8077056,658,358
1728496188.809326,590,354
1728496188.8109124,507,349
1728496188.8123972,480,344
1728496188.8140202,478,340
1728496188.815636,479,335
1728496188.8172822,478,330
1728496188.8188164,480,326
1728496188.8206406,480,321
1728496188.822269,526,316
1728496188.8238704,606,311
1728496188.8256443,685,307
1728496188.8272636,851,302
1728496188.8288746,659,297
1728496188.8304887,588,292
1728496188.832111,479,287
1728496188.8338127,478,283
1728496188.836352,479,278
1728496188.8382425,474,273
1728496188.8401155,478,268
1728496188.843169,480,263
1728496188.844825,547,259
1728496188.8464165,556,254
1728496188.8480768,623,249
1728496188.84967,738,244
1728496188.8513072,723,239
1728496188.8532243,638,234
1728496188.8549798,515,230
1728496188.8567348,479,225
1728496188.8584635,479,220
1728496188.860311,478,215
1728496188.8618128,466,210
1728496188.8638437,480,205
1728496188.8651161,479,200
1728496188.8666902,480,195
1728496188.8683524,510,190
1728496188.8700652,623,185
1728496188.8720403,721,181
1728496188.8739798,618,176
1728496188.8756485,511,171
1728496188.8772328,479,166
1728496188.8788533,475,161
1728496188.8805678,471,156
1728496188.8821852,467,151
1728496188.8837218,471,146
1728496188.885528,475,141
1728496188.8873432,480,136
1728496188.8889863,520,131
1728496188.890574,547,126
1728496188.8921967,734,121
1728496188.8939786,633,116
1728496188.895475,596,111
1728496188.8983605,479,106
1728496188.9000232,479,101
1728496188.902198,478,96
1728496188.9035463,466,91
1728496188.9055243,472,86
1728496188.9075272,473,81
1728496188.9097824,476,76
1728496188.911273,480,72
1728496188.913427,534,67
1728496188.9155684,600,62
1728496188.9167593,707,57
1728496188.9186482,632,52
1728496188.9198892,591,47
1728496188.9217956,479,42
1728496188.923608,480,37
1728496188.9256208,475,32
1728496188.9278088,465,27
1728496188.9296665,478,22
1728496188.931653,479,17
1728496188.9333582,480,12
1728496188.9352772,539,7
1728496188.9369712,623,2
1728496188.9387379,639,3
1728496188.9405909,734,8
1728496188.9420695,646,13
1728496188.9436784,558,18
1728496188.9453363,479,23
1728496188.9471805,479,28
1728496188.9486365,479,33
1728496188.9501934,475,38
1728496188.951854,478,43
1728496188.953795,480,48
1728496188.9554698,480,53
1728496188.957019,549,58
1728496188.9586046,587,63
1728496188.9605672,690,68
1728496188.9621656,815,73
1728496188.9637141,644,78
1728496188.9652557,614,83
1728496188.967176,479,88
1728496188.969402,478,93
1728496188.9711282,479,98
1728496188.9726918,462,103
1728496188.9745228,471,108
1728496188.9760327,475,113
1728496188.9776044,480,118
1728496188.9792168,512,123
1728496188.9809558,540,128
1728496188.9824004,644,133
1728496188.9839222,663,138
1728496188.985794,577,143
1728496188.9876804,480,148
1728496188.9892058,479,153
1728496188.9916155,474,158
1728496188.9936783,477,163
1728496188.9955225,446,168
1728496188.9975362,479,173
1728496188.999361,480,177
1728496189.00241,480,182
1728496189.0036216,525,187
1728496189.0057454,585,192
1728496189.007289,664,197
1728496189.0093558,598,202
1728496189.0110328,579,207
1728496189.0128615,479,212
1728496189.0145051,471,217
1728496189.0160956,474,222
1728496189.0181067,475,226
1728496189.0197434,464,231
1728496189.021419,480,236
1728496189.0230255,480,241
1728496189.0246878,482,246
1728496189.0264494,546,251
1728496189.0280128,701,256
1728496189.0296075,717,260
1728496189.0312011,620,265
1728496189.0327797,578,270
1728496189.0344658,479,275
1728496189.0361905,478,280
1728496189.0380914,477,284
1728496189.039592,465,289
